rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,matched_tier_roles,unmatched_roles_count,tier_breakdown,weapon_breakdown
74,35792759,136,78,26,3.84,541.00,140.00,684.84,5.036,9,3,今汐:T2@1鸣=14.0 | 维里奈:T1@1鸣=56.0 | 琳奈:T0@0鸣=111.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 坎特蕾拉:T1@0鸣=55.0 | 菲比:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 长离:T1@0鸣=28.0,幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 焰光裁定:signature->赞妮@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
75,35416733,158,61,21,0.00,603.60,189.00,792.60,5.016,8,12,散华:T2@6鸣=33.6 | 维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 弗洛洛:T0.5@0鸣=99.0 | 露帕:T0.5@0鸣=70.0 | 卡提希娅:T0.5@0鸣=89.0 | 坎特蕾拉:T1@0鸣=55.0,血誓盟约:standard->常驻@4鸣=39.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
76,33682748,155,75,28,5.31,569.20,203.00,777.51,5.016,9,13,散华:T2@6鸣=33.6 | 奥古斯塔:T0.5@1鸣=138.6 | 维里奈:T1@1鸣=56.0 | 爱弥斯:T0@0鸣=111.0 | 仇远:T1@0鸣=55.0 | 坎特蕾拉:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0 | 吟霖:T2@0鸣=7.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@5鸣=43.0 | 驭冕铸雷之权:signature->奥古斯塔@1鸣=50.0 | 海的呢喃:signature->坎特蕾拉@1鸣=30.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
77,33761640,90,68,22,1.28,389.30,60.00,450.58,5.006,7,13,散华:T2@6鸣=33.6 | 卜灵:T2@2鸣=8.5 | 长离:T1@1鸣=39.2 | 维里奈:T1@1鸣=56.0 | 卡提希娅:T0.5@0鸣=89.0 | 坎特蕾拉:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0,掣傀之手:signature->吟霖@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
78,33718762,100,64,23,2.87,354.20,142.00,499.07,4.991,6,13,散华:T2@5鸣=32.2 | 尤诺:T0.5@0鸣=79.0 | 赞妮:T1@0鸣=40.0 | 菲比:T1@0鸣=40.0 | 珂莱塔:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0,焰光裁定:signature->赞妮@2鸣=42.0 | 和光回唱:signature->菲比@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
79,35391598,80,49,11,0.86,294.10,104.00,398.96,4.987,5,9,散华:T2@6鸣=33.6 | 卜灵:T2@2鸣=8.5 | 维里奈:T1@1鸣=56.0 | 达妮娅:T0.5@0鸣=85.0 | 西格莉卡:T0@0鸣=111.0,血誓盟约:standard->常驻@3鸣=34.0 | 昭日译注:signature->西格莉卡@1鸣=60.0 | 千古洑流:signature->今汐@1鸣=10.0
80,34837849,70,51,11,5.92,252.60,90.00,348.52,4.979,4,12,散华:T2@6鸣=33.6 | 维里奈:T1@1鸣=56.0 | 仇远:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0,星序协响:signature->守岸人@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
81,34965102,150,76,29,0.44,515.35,230.00,745.79,4.972,11,13,散华:T2@6鸣=33.6 | 卜灵:T2@3鸣=9.75 | 维里奈:T1@2鸣=68.0 | 相里要:T2@1鸣=22.4 | 折枝:T2@1鸣=26.6 | 爱弥斯:T0@0鸣=111.0 | 弗洛洛:T0.5@0鸣=99.0 | 赞妮:T1@0鸣=40.0 | 坎特蕾拉:T1@0鸣=55.0 | 菲比:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0,幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 焰光裁定:signature->赞妮@1鸣=30.0 | 和光回唱:signature->菲比@1鸣=30.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
82,35818411,157,75,32,0.81,560.00,214.00,774.81,4.935,11,4,维里奈:T1@2鸣=68.0 | 今汐:T2@1鸣=14.0 | 爱弥斯:T0@0鸣=111.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 奥古斯塔:T0.5@0鸣=99.0 | 菲比:T1@0鸣=40.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0,千古洑流:signature->今汐@2鸣=14.0 | 驭冕铸雷之权:signature->奥古斯塔@1鸣=50.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
83,35015596,80,43,11,10.48,285.70,88.00,384.18,4.802,4,10,散华:T2@4鸣=30.1 | 卡提希娅:T0.5@1鸣=124.6 | 维里奈:T1@1鸣=56.0 | 莫宁:T0.5@0鸣=75.0,血誓盟约:standard->常驻@2鸣=28.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 千古洑流:signature->今汐@1鸣=10.0
84,35457782,150,66,25,0.01,604.20,110.00,714.21,4.761,11,13,散华:T2@5鸣=32.2 | 维里奈:T1@1鸣=56.0 | 千咲:T0.5@0鸣=90.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 弗洛洛:T0.5@0鸣=99.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0,裁春:signature->椿@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
85,35714532,80,56,10,0.69,297.60,80.00,378.29,4.729,5,12,散华:T2@6鸣=33.6 | 仇远:T1@0鸣=55.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 弗洛洛:T0.5@0鸣=99.0 | 维里奈:T1@0鸣=40.0,光影双生:signature->嘉贝莉娜@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
86,34621464,150,66,22,5.60,459.25,243.00,707.85,4.719,6,13,散华:T2@5鸣=32.2 | 卜灵:T2@3鸣=9.75 | 卡提希娅:T0.5@2鸣=151.3 | 维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 奥古斯塔:T0.5@0鸣=99.0,血誓盟约:standard->常驻@5鸣=43.0 | 灼霜:signature->绯雪@1鸣=60.0 | 驭冕铸雷之权:signature->奥古斯塔@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
87,33942214,60,46,16,6.28,256.55,20.00,282.82,4.714,5,11,卜灵:T2@4鸣=10.75 | 散华:T2@2鸣=23.8 | 维里奈:T1@1鸣=56.0 | 西格莉卡:T0@0鸣=111.0 | 仇远:T1@0鸣=55.0,血誓盟约:standard->常驻@1鸣=20.0
88,33874314,150,60,25,112.48,393.60,199.00,705.08,4.701,7,12,散华:T2@6鸣=33.6 | 维里奈:T1@1鸣=56.0 | 琳奈:T0@0鸣=111.0 | 赞妮:T1@0鸣=40.0 | 菲比:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@4鸣=39.0 | 溢彩荧辉:signature->琳奈@1鸣=60.0 | 焰光裁定:signature->赞妮@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 千古洑流:signature->今汐@1鸣=10.0
89,34763859,150,64,32,7.96,449.30,243.00,700.26,4.668,9,14,散华:T2@3鸣=27.3 | 维里奈:T1@2鸣=68.0 | 千咲:T0.5@0鸣=90.0 | 仇远:T1@0鸣=55.0 | 弗洛洛:T0.5@0鸣=99.0 | 坎特蕾拉:T1@0鸣=55.0 | 菲比:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@5鸣=43.0 | 昙切:signature->千咲@2鸣=70.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 和光回唱:signature->菲比@1鸣=30.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
90,35852652,50,52,11,0.99,162.30,70.00,233.29,4.666,4,12,散华:T2@3鸣=27.3 | 坎特蕾拉:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 维里奈:T1@0鸣=40.0,裁春:signature->椿@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
91,35718066,108,65,15,0.00,330.60,172.00,502.60,4.654,5,4,赞妮:T1@2鸣=68.0 | 卡提希娅:T0.5@1鸣=124.6 | 嘉贝莉娜:T0.5@0鸣=70.0 | 长离:T1@0鸣=28.0 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@2鸣=28.0 | 千古洑流:signature->今汐@2鸣=14.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 焰光裁定:signature->赞妮@1鸣=30.0
92,35077993,150,54,20,1.31,494.00,200.00,695.31,4.635,7,13,散华:T2@3鸣=27.3 | 绯雪:T0@2鸣=188.7 | 维里奈:T1@2鸣=68.0 | 莫宁:T0.5@1鸣=105.0 | 卜灵:T2@1鸣=7.0 | 尤诺:T0.5@0鸣=79.0 | 忌炎:T2@0鸣=19.0,灼霜:signature->绯雪@1鸣=60.0 | 宙算仪轨:signature->莫宁@1鸣=50.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0
93,35724819,125,60,11,2.73,445.80,130.00,578.53,4.628,7,12,散华:T2@2鸣=23.8 | 卜灵:T2@1鸣=7.0 | 尤诺:T0.5@0鸣=79.0 | 弗洛洛:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0 | 守岸人:T0@0鸣=108.0 | 维里奈:T1@0鸣=40.0,源能机锋:standard->常驻@1鸣=20.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 千古洑流:signature->今汐@1鸣=10.0
94,35604068,120,66,22,37.45,375.00,139.00,551.45,4.595,4,12,千咲:T0.5@6鸣=216.0 | 维里奈:T1@1鸣=56.0 | 卡提希娅:T0.5@0鸣=89.0 | 散华:T2@0鸣=14.0,血誓盟约:standard->常驻@4鸣=39.0 | 镭射切变:standard->常驻@1鸣=20.0 | 昙切:signature->千咲@1鸣=50.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
95,34384632,150,57,17,0.81,556.60,130.00,687.41,4.583,9,13,散华:T2@6鸣=33.6 | 珂莱塔:T1@1鸣=77.0 | 维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 莫宁:T0.5@0鸣=75.0 | 仇远:T1@0鸣=55.0 | 卡提希娅:T0.5@0鸣=89.0 | 坎特蕾拉:T1@0鸣=55.0 | 卜灵:T2@0鸣=5.0,灼霜:signature->绯雪@1鸣=60.0 | 镭射切变:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
96,34743735,142,0,21,0.00,516.00,130.00,646.00,4.549,9,3,维里奈:T1@2鸣=68.0 | 千咲:T0.5@0鸣=90.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 坎特蕾拉:T1@0鸣=55.0 | 菲比:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,焰光裁定:signature->赞妮@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
97,32130064,150,59,20,5.64,523.20,150.00,678.84,4.526,10,13,散华:T2@5鸣=32.2 | 维里奈:T1@3鸣=78.0 | 千咲:T0.5@0鸣=90.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 坎特蕾拉:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 今汐:T2@0鸣=10.0 | 卜灵:T2@0鸣=5.0,不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 星序协响:signature->守岸人@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
98,34727356,140,0,24,0.00,503.00,130.00,633.00,4.521,9,3,维里奈:T1@2鸣=68.0 | 椿:T1@1鸣=56.0 | 千咲:T0.5@0鸣=90.0 | 露帕:T0.5@0鸣=70.0 | 卡提希娅:T0.5@0鸣=89.0 | 布兰特:T1@0鸣=46.0 | 菲比:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0,和光回唱:signature->菲比@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
99,29055204,110,72,21,0.00,395.20,100.00,495.20,4.502,9,14,散华:T2@5鸣=32.2 | 维里奈:T1@1鸣=56.0 | 卡提希娅:T0.5@0鸣=89.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,裁春:signature->椿@1鸣=30.0 | 赫奕流明:signature->长离@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
100,8978449,130,70,20,0.00,422.60,160.00,582.60,4.482,7,14,散华:T2@6鸣=33.6 | 珂莱塔:T1@1鸣=77.0 | 维里奈:T1@1鸣=56.0 | 卡提希娅:T0.5@0鸣=89.0 | 菲比:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 折枝:T2@0鸣=19.0,死与舞:signature->珂莱塔@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
101,35268098,90,41,9,0.96,310.10,90.00,401.06,4.456,5,10,散华:T2@4鸣=30.1 | 维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 守岸人:T0@0鸣=108.0 | 卜灵:T2@0鸣=5.0,灼霜:signature->绯雪@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
102,35482426,90,67,19,8.54,307.35,80.00,395.89,4.399,8,12,散华:T2@6鸣=33.6 | 卜灵:T2@3鸣=9.75 | 坎特蕾拉:T1@1鸣=77.0 | 千咲:T0.5@0鸣=90.0 | 赞妮:T1@0鸣=40.0 | 菲比:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0,时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
103,34989398,160,63,26,0.47,483.60,218.00,702.08,4.388,9,4,卡提希娅:T0.5@1鸣=124.6 | 维里奈:T1@1鸣=56.0 | 夏空:T1@0鸣=55.0 | 坎特蕾拉:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0,血誓盟约:standard->常驻@2鸣=28.0 | 灼霜:signature->绯雪@1鸣=60.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 裁春:signature->椿@1鸣=30.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
104,35734904,50,38,5,1.09,188.00,30.00,219.09,4.382,4,8,维里奈:T1@1鸣=56.0 | 卜灵:T2@1鸣=7.0 | 琳奈:T0@0鸣=111.0 | 散华:T2@0鸣=14.0,血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
105,33872361,130,71,25,0.03,448.60,120.00,568.63,4.374,10,13,散华:T2@6鸣=33.6 | 维里奈:T1@2鸣=68.0 | 爱弥斯:T0@0鸣=111.0 | 卡提希娅:T0.5@0鸣=89.0 | 坎特蕾拉:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0,不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
106,35124607,90,31,10,0.10,362.30,30.00,392.40,4.360,8,11,散华:T2@3鸣=27.3 | 西格莉卡:T0@0鸣=111.0 | 卡提希娅:T0.5@0鸣=89.0 | 菲比:T1@0鸣=40.0 | 椿:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
107,34541525,154,78,30,0.00,431.00,239.00,670.00,4.351,8,4,珂莱塔:T1@1鸣=77.0 | 今汐:T2@1鸣=14.0 | 维里奈:T1@1鸣=56.0 | 千咲:T0.5@0鸣=90.0 | 露帕:T0.5@0鸣=70.0 | 卡提希娅:T0.5@0鸣=89.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0,血誓盟约:standard->常驻@4鸣=39.0 | 昙切:signature->千咲@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
108,35017467,100,66,15,0.96,339.60,90.00,430.56,4.306,6,11,散华:T2@6鸣=33.6 | 菲比:T1@2鸣=68.0 | 维里奈:T1@2鸣=68.0 | 绯雪:T0@0鸣=111.0 | 椿:T1@0鸣=40.0 | 折枝:T2@0鸣=19.0,和光回唱:signature->菲比@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
109,34537064,120,80,25,0.00,366.60,150.00,516.60,4.305,5,4,维里奈:T1@3鸣=78.0 | 守岸人:T0@2鸣=183.6 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0,死与舞:signature->珂莱塔@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
110,35750365,150,61,22,0.58,470.60,173.00,644.18,4.295,5,13,琳奈:T0@6鸣=266.4 | 散华:T2@5鸣=32.2 | 维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@5鸣=43.0 | 溢彩荧辉:signature->琳奈@1鸣=60.0 | 昙切:signature->千咲@1鸣=50.0 | 漪澜浮录:standard->常驻@1鸣=20.0
111,34917108,130,58,17,8.84,417.60,130.00,556.44,4.280,7,12,散华:T2@6鸣=33.6 | 维里奈:T1@3鸣=78.0 | 椿:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0,灼霜:signature->绯雪@1鸣=60.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
112,30305172,99,56,19,0.00,230.20,190.00,420.20,4.244,6,12,散华:T2@5鸣=32.2 | 仇远:T1@1鸣=77.0 | 珂莱塔:T1@0鸣=55.0 | 相里要:T2@0鸣=16.0 | 今汐:T2@0鸣=10.0 | 维里奈:T1@0鸣=40.0,溢彩荧辉:signature->琳奈@1鸣=60.0 | 裁竹:signature->仇远@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
113,35817757,136,80,34,6.71,452.50,117.00,576.21,4.237,11,3,相里要:T2@2鸣=27.2 | 忌炎:T2@2鸣=32.3 | 菲比:T1@1鸣=56.0 | 维里奈:T1@1鸣=56.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0,千古洑流:signature->今汐@3鸣=17.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
114,35814988,105,80,22,0.80,273.00,170.00,443.80,4.227,7,3,今汐:T2@1鸣=14.0 | 卡提希娅:T0.5@0鸣=89.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 裁春:signature->椿@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
115,28748185,90,55,13,0.00,254.60,120.00,374.60,4.162,7,10,散华:T2@6鸣=33.6 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 维里奈:T1@0鸣=40.0,星序协响:signature->守岸人@1鸣=60.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
116,34740908,126,0,20,0.00,363.00,160.00,523.00,4.151,7,4,维里奈:T1@1鸣=56.0 | 西格莉卡:T0@0鸣=111.0 | 珂莱塔:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0,死与舞:signature->珂莱塔@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
117,34414497,135,57,27,0.86,419.25,140.00,560.11,4.149,5,13,卜灵:T2@6鸣=12.0 | 散华:T2@6鸣=33.6 | 西格莉卡:T0@4鸣=238.65 | 维里奈:T1@1鸣=56.0 | 尤诺:T0.5@0鸣=79.0,昭日译注:signature->西格莉卡@1鸣=60.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
118,34306836,130,59,26,6.41,417.95,113.00,537.36,4.134,5,12,卡提希娅:T0.5@4鸣=191.35 | 维里奈:T1@1鸣=56.0 | 散华:T2@1鸣=19.6 | 爱弥斯:T0@0鸣=111.0 | 椿:T1@0鸣=40.0,血誓盟约:standard->常驻@5鸣=43.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 漪澜浮录:standard->常驻@1鸣=20.0
119,35196911,130,60,23,0.61,382.60,154.00,537.21,4.132,7,15,散华:T2@5鸣=32.2 | 卡提希娅:T0.5@1鸣=124.6 | 椿:T1@1鸣=56.0 | 吟霖:T2@1鸣=9.8 | 维里奈:T1@1鸣=56.0 | 弗洛洛:T0.5@0鸣=99.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@3鸣=34.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 裁春:signature->椿@1鸣=30.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
