rank,product_id,price,area_name,level,total_yellow,char5,weapon5,star_voice,fj_waves,zc_waves,hs_waves,wave_pulls,pulls_total,equiv_pulls_total,equiv_pulls_per_rmb,role_resonance,weapon_resonance,sub_title
70,34537064,120,官服,80,25,9,8,0,0,0,0,0,0.00,1240.00,10.333,3鸣x1 2鸣x1 1鸣x2 0鸣x5,1鸣x8,80级/25黄/男主/9个五星角色/9个五星武器/未绑定/维里奈/守岸人/卡卡罗/凌阳/珂莱塔/洛可可/椿/今汐/鉴心/悲喜剧/死与舞/停驻之烟/血誓盟约/裁春/千古洑流/时和岁稔/浩境粼光/3鸣维里奈/2鸣守岸人/1鸣卡卡罗/1鸣凌阳/0鸣珂莱塔/0鸣洛可可/0鸣椿/0鸣今汐/0鸣鉴心/1鸣悲喜剧/1鸣死与舞/1鸣停驻之烟/1鸣血誓盟约/1鸣裁春/1鸣千古洑流/1鸣时和岁稔/1鸣浩境粼光
71,35016689,80,官服,52,16,7,4,140,0,0,0,0,0.88,820.88,10.261,6鸣x2 3鸣x2 2鸣x3 1鸣x7 0鸣x4,3鸣x1 1鸣x3,联觉等级:52 总黄数:16 五星角色数:7 五星武器数:4 1鸣卡提希娅，1鸣安可，1鸣维里奈，0鸣莫宁，0鸣夏空，0鸣鉴心，0鸣凌阳 6鸣釉瑚，6鸣白芷，3鸣莫特斐，3鸣秋水，2鸣卜灵，2鸣桃祈，2鸣秧秧，1鸣灯灯，1鸣渊武，1鸣散华，1鸣炽霞 3鸣血誓盟约，1鸣相位涟漪，1鸣不屈命定之冠，1鸣漪澜浮录 卖家说:急用，急出
72,35208178,137,官服,67,28,11,8,0,0,0,0,0,0.00,1400.00,10.219,6鸣x3 5鸣x2 3鸣x2 2鸣x3 1鸣x2 0鸣x9,1鸣x8,"【鸣潮】冒险等级：67，女主，五星数量：20，五星角色:维里奈 * 3命,嘉贝莉娜 * 3命,卡卡罗 * 1命,凌阳 * 1命,安可,鉴心,夏空,露帕,卡提希娅,弗洛洛,千咲__五星武器:漪澜浮录,千古洑流,千古洑流,不屈命定之冠,焰痕,光影双生,昙切,血誓盟约,玻色星仪__四星角色:白芷 * 6命,莫特斐 * 6命,散华 * 6命,秧秧 * 5命,秋水 * 5命,渊武 * 2命,丹瑾 * 2命,釉瑚 * 2命,桃祈,炽霞"
73,34537280,150,官服,73,22,11,10,0,0,0,0,0,0.00,1530.00,10.200,1鸣x1 0鸣x10,1鸣x10,73级/22黄/男主/11个五星角色/10个五星武器/未绑定/维里奈/今汐/折枝/守岸人/相里要/忌炎/安可/吟霖/卡卡罗/珂莱塔/椿/星序协响/漪澜浮录/诸方玄枢/时和岁稔/苍鳞千嶂/琼枝冰绡/掣傀之手/停驻之烟/裁春/千古洑流/1鸣维里奈/0鸣今汐/0鸣折枝/0鸣守岸人/0鸣相里要/0鸣忌炎/0鸣安可/0鸣吟霖/0鸣卡卡罗/0鸣珂莱塔/0鸣椿/1鸣星序协响/1鸣漪澜浮录/1鸣诸方玄枢/1鸣时和岁稔/1鸣苍鳞千嶂/1鸣琼枝冰绡/1鸣掣傀之手/1鸣停驻之烟/1鸣裁春/1鸣千古洑流
74,29268574,120,官服,56,17,12,4,0,0,0,0,0,0.00,1220.00,10.167,6鸣x5 5鸣x1 4鸣x1 1鸣x3 0鸣x13,1鸣x4,联觉等级:56 总黄数:17 星声数量:107 浮金波纹数量:0 铸潮波纹数量:0 唤声涡纹数量:1 五星角色数:12 1鸣维里奈，0鸣嘉贝莉娜，0鸣露帕，0鸣珂莱塔，0鸣长离，0鸣今汐，0鸣吟霖，0鸣忌炎，0鸣鉴心，0鸣卡卡罗，0鸣安可，0鸣凌阳 6鸣渊武，6鸣莫特斐，6鸣秋水，6鸣散华，6鸣炽霞，5鸣秧秧，4鸣白芷，1鸣桃祈，1鸣丹瑾，0鸣灯灯，0鸣釉瑚 五星武器数:4 1鸣死与舞，1鸣苍鳞千嶂，1鸣千古洑流，1鸣擎渊怒涛 卖家说:（7up嘉贝露帕自玩欧号）7up嘉贝露帕自玩欧号，资源多，肝了很久了，边玩边卖，持续增加，没有其他绑定，随时换绑，退游出了
75,7251602,60,官服,54,10,6,2,0,0,0,0,0,0.00,610.00,10.167,6鸣x2 4鸣x4 3鸣x1 1鸣x4 0鸣x5,1鸣x2,"总黄数: 10 联觉等级: 54 拥有五星共鸣者: 折枝,今汐,鉴心,卡卡罗,安可,维里奈 拥有五星武器: 时和岁稔,千古洑流 亮点: 煌珑全区域百分百探索，现有大保底已垫 60 多抽，1+1 今夕 0+0 折枝"
76,34727356,140,官服,0,24,12,7,0,0,0,0,0,0.00,1415.00,10.107,2鸣x1 1鸣x1 0鸣x10,1鸣x7,官服【24金】【等级74】叱妖诰【五星角色】维里奈二命 椿一命 长离 卡提希娅 相里要 布兰特 千咲 露帕 菲比 凌阳 鉴心 卡卡罗【五星武器】和光回唱 诸方玄枢 不屈命定之冠 血誓盟约 赫奕流明 千古洑流x2 浩境粼光 掣傀之手 鸣潮账号
77,34537500,150,官服,79,23,10,11,0,0,0,0,0,0.00,1515.00,10.100,1鸣x2 0鸣x8,1鸣x11,79级/23黄/男主/10个五星角色/11个五星武器/未绑定/维里奈/卡卡罗/珂莱塔/守岸人/椿/相里要/长离/忌炎/鉴心/凌阳/星序协响/诸方玄枢/死与舞/停驻之烟/裁春/赫奕流明/千古洑流/苍鳞千嶂/浩境粼光/漪澜浮录/擎渊怒涛/1鸣维里奈/1鸣卡卡罗/0鸣珂莱塔/0鸣守岸人/0鸣椿/0鸣相里要/0鸣长离/0鸣忌炎/0鸣鉴心/0鸣凌阳/1鸣星序协响/1鸣诸方玄枢/1鸣死与舞/1鸣停驻之烟/1鸣裁春/1鸣赫奕流明/1鸣千古洑流/1鸣苍鳞千嶂/1鸣浩境粼光/1鸣漪澜浮录/1鸣擎渊怒涛
78,35482426,90,官服,67,19,8,4,86,8,0,0,8,8.54,908.54,10.095,6鸣x7 4鸣x1 3鸣x3 2鸣x2 1鸣x2 0鸣x5,1鸣x4,联觉等级:67 总黄数:19 五星角色数:8 五星武器数:4 4鸣凌阳，2鸣安可，1鸣坎特蕾拉，0鸣千咲，0鸣赞妮，0鸣菲比，0鸣今汐，0鸣吟霖 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣散华，6鸣炽霞，3鸣卜灵，3鸣灯灯，3鸣秋水，2鸣秧秧，1鸣白芷 1鸣时和岁稔，1鸣血誓盟约，1鸣浩境粼光，1鸣擎渊怒涛
79,34740908,126,官服,0,20,11,6,0,0,0,0,0,0.00,1270.00,10.079,1鸣x3 0鸣x8,1鸣x6,官服【20金】【等级70】叱妖诰【五星角色】 珂莱塔 守岸人 西格莉卡 今汐 吟霖 维里奈一命 安可一命 鉴心 相里要 凌阳一命 卡卡罗 【五星武器】 星序协响 擎渊怒涛 死与舞 千古洑流 浩境粼光 血誓盟约 鸣潮账号
80,35816370,157,官服,80,35,13,8,976,0,0,11,11,17.10,1577.10,10.045,3鸣x3 2鸣x2 1鸣x1 0鸣x7,1鸣x8,"80级/35黄/女主/13个五星角色/8个五星武器
未绑定,夏空,卡提希娅,露帕,菲比,布兰特,坎特蕾拉,守岸人,忌炎,维里奈,卡卡罗,鉴心,安可,凌阳,焰痕,不屈命定之冠,海的呢喃,血誓盟约,不灭航路,苍鳞千嶂,停驻之烟,漪澜浮录,3命布兰特,3命维里奈,3命鉴心,2命卡卡罗,2命凌阳,1命安可,0命夏空,0命卡提希娅,0命露帕,0命菲比,0命坎特蕾拉,0命守岸人,0命忌炎,精1焰痕,精1不屈命定之冠,精1海的呢喃,精1血誓盟约,精1不灭航路,精1苍鳞千嶂,精1停驻之烟,精1漪澜浮录"
81,32466872,55,官服,44,7,6,1,737,1,0,0,1,5.61,550.61,10.011,6鸣x1 4鸣x3 3鸣x2 2鸣x2 1鸣x2 0鸣x7,1鸣x1,联觉等级:44 总黄数:7 五星角色数:6 五星武器数:1 0鸣椿，0鸣长离，0鸣鉴心，0鸣卡卡罗，0鸣安可，0鸣维里奈 6鸣白芷，4鸣桃祈，4鸣莫特斐，4鸣炽霞，3鸣渊武，3鸣秧秧，2鸣秋水，2鸣散华，1鸣釉瑚，1鸣丹瑾，0鸣灯灯 1鸣赫奕流明 卖家说:着急出售，可议价，相当于新手号
82,35792759,136,官服,78,26,12,6,615,0,0,2,2,5.84,1355.84,9.969,3鸣x1 2鸣x1 1鸣x2 0鸣x8,1鸣x6,"78级/26黄/女主/12个五星角色/7个五星武器
未绑定,赞妮,卡提希娅,琳奈,菲比,坎特蕾拉,今汐,长离,守岸人,维里奈,鉴心,安可,凌阳,幽冥的忘忧章,焰光裁定,血誓盟约,时和岁稔,掣傀之手,千古洑流,3命凌阳,2命安可,1命今汐,1命维里奈,0命赞妮,0命卡提希娅,0命琳奈,0命菲比,0命坎特蕾拉,0命长离,0命守岸人,0命鉴心,精1幽冥的忘忧章,精1焰光裁定,精1血誓盟约,精1时和岁稔,精1掣傀之手,精1千古洑流"
83,28777639,120,官服,69,20,9,7,0,0,0,0,0,0.00,1175.00,9.792,3鸣x1 1鸣x1 0鸣x7,1鸣x7,"69级/20黄/男主/9个五星角色/7个五星武器
未绑定,赞妮,夏空,椿,相里要,折枝,长离,维里奈,鉴心,卡卡罗,焰光裁定,血誓盟约,裁春,琼枝冰绡,赫奕流明,千古洑流,停驻之烟,3命赞妮,1命折枝,0命夏空,0命椿,0命相里要,0命长离,0命维里奈,0命鉴心,0命卡卡罗,精1焰光裁定,精1血誓盟约,精1裁春,精1琼枝冰绡,精1赫奕流明,精1千古洑流,精1停驻之烟"
84,33682424,100,官服,48,18,8,5,87,0,0,9,9,9.54,974.54,9.745,4鸣x1 3鸣x1 2鸣x2 1鸣x3 0鸣x13,5鸣x1 1鸣x4,联觉等级:48 总黄数:18 五星角色数:8 五星武器数:5 1鸣卡卡罗，0鸣西格莉卡，0鸣陆·赫斯，0鸣琳奈，0鸣仇远，0鸣赞妮，0鸣安可，0鸣维里奈 4鸣炽霞，3鸣渊武，2鸣灯灯，2鸣散华，1鸣白芷，1鸣秧秧，0鸣卜灵，0鸣釉瑚，0鸣桃祈，0鸣莫特斐，0鸣丹瑾，0鸣秋水 5鸣血誓盟约，1鸣昭日译注，1鸣脉冲协臂，1鸣相位涟漪
85,34998618,160,官服,76,27,13,7,3838,20,0,16,36,59.99,1554.99,9.719,6鸣x9 3鸣x2 2鸣x1 1鸣x3 0鸣x9,3鸣x1 1鸣x6,联觉等级:76 总黄数:27 五星角色数:13 五星武器数:7 2鸣卡提希娅，1鸣守岸人，1鸣安可，1鸣维里奈，0鸣千咲，0鸣仇远，0鸣嘉贝莉娜，0鸣珂莱塔，0鸣相里要，0鸣吟霖，0鸣鉴心，0鸣卡卡罗，0鸣凌阳 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，3鸣灯灯，3鸣莫特斐 3鸣血誓盟约，1鸣昙切，1鸣光影双生，1鸣不屈命定之冠，1鸣千古洑流，1鸣停驻之烟，1鸣擎渊怒涛
86,34964442,125,官服,63,21,10,5,5801,11,17,24,52,88.26,1213.26,9.706,6鸣x3 4鸣x2 3鸣x2 2鸣x4 1鸣x3 0鸣x8,4鸣x1 1鸣x4,联觉等级:63 总黄数:21 五星角色数:10 五星武器数:5 2鸣卡提希娅，1鸣凌阳，0鸣西格莉卡，0鸣莫宁，0鸣琳奈，0鸣夏空，0鸣守岸人，0鸣鉴心，0鸣安可，0鸣维里奈 6鸣散华，6鸣白芷，6鸣秧秧，4鸣釉瑚，4鸣炽霞，3鸣灯灯，3鸣渊武，2鸣卜灵，2鸣莫特斐，2鸣秋水，1鸣桃祈，1鸣丹瑾 4鸣血誓盟约，1鸣脉冲协臂，1鸣不屈命定之冠，1鸣千古洑流，1鸣停驻之烟 卖家说:买的号不想玩了介意勿拍，大保底抽了30，号上还有40抽，新地图没咋肝，老地图还有一些资源。
87,35727655,130,官服,68,21,8,9,3228,0,10,4,14,34.17,1259.17,9.686,6鸣x3 5鸣x1 4鸣x2 3鸣x2 2鸣x1 1鸣x6 0鸣x5,1鸣x9,联觉等级:68 总黄数:21 五星角色数:8 五星武器数:9 1鸣绯雪，1鸣西格莉卡，1鸣安可，1鸣维里奈，0鸣千咲，0鸣仇远，0鸣守岸人，0鸣凌阳 6鸣散华，6鸣白芷，6鸣秧秧，5鸣渊武，4鸣卜灵，4鸣莫特斐，3鸣秋水，3鸣炽霞，2鸣灯灯，1鸣桃祈，1鸣丹瑾，0鸣釉瑚 1鸣灼霜，1鸣昭日译注，1鸣昙切，1鸣星序协响，1鸣血誓盟约，1鸣千古洑流，1鸣擎渊怒涛，1鸣漪澜浮录 卖家说:1+1绯雪 1+1西格莉卡 0+1千咲 声骸都刷毕业了 还有3200星声
88,35718066,108,官服,65,15,9,5,0,0,0,0,0,0.00,1045.00,9.676,2鸣x3 1鸣x1 0鸣x5,2鸣x2 1鸣x3,【MC120】65级/15黄/男主/10个五星角色/5个五星武器/WeGame已绑定/赞妮/卡提希娅/嘉贝莉娜/长离/维里奈/安可/卡卡罗/凌阳/鉴心/焰光裁定/光影双生/不屈命定之冠/血誓盟约/千古洑流/2鸣赞妮/2鸣安可/2鸣鉴心/1鸣卡提希娅/0鸣嘉贝莉娜/0鸣长离/0鸣维里奈/0鸣卡卡罗/0鸣凌阳/2鸣血誓盟约/2鸣千古洑流/1鸣焰光裁定/1鸣光影双生/1鸣不屈命定之冠
89,34532132,120,官服,80,24,8,8,0,0,0,0,0,0.00,1160.00,9.667,3鸣x1 2鸣x1 1鸣x2 0鸣x4,1鸣x8,80级/24黄/男主/8个五星角色/9个五星武器/未绑定/卡卡罗/相里要/菲比/维里奈/守岸人/洛可可/吟霖/忌炎/和光回唱/星序协响/掣傀之手/悲喜剧/诸方玄枢/停驻之烟/千古洑流/苍鳞千嶂/3鸣卡卡罗/2鸣相里要/1鸣菲比/1鸣维里奈/0鸣守岸人/0鸣洛可可/0鸣吟霖/0鸣忌炎/1鸣和光回唱/1鸣星序协响/1鸣掣傀之手/1鸣悲喜剧/1鸣诸方玄枢/1鸣停驻之烟/1鸣千古洑流/1鸣苍鳞千嶂
90,34541525,154,官服,78,30,12,8,0,0,0,0,0,0.00,1480.00,9.610,2鸣x1 1鸣x5 0鸣x6,4鸣x1 1鸣x7,【MC118】78级/30黄/女主/12个五星角色/8个五星武器/未绑定/卡卡罗/珂莱塔/今汐/维里奈/安可/凌阳/卡提希娅/千咲/相里要/折枝/露帕/鉴心/血誓盟约/漪澜浮录/死与舞/不屈命定之冠/千古洑流/昙切/时和岁稔/停驻之烟/2鸣卡卡罗/1鸣珂莱塔/1鸣今汐/1鸣维里奈/1鸣安可/1鸣凌阳/0鸣卡提希娅/0鸣千咲/0鸣相里要/0鸣折枝/0鸣露帕/0鸣鉴心/4鸣血誓盟约/1鸣漪澜浮录/1鸣死与舞/1鸣不屈命定之冠/1鸣千古洑流/1鸣昙切/1鸣时和岁稔/1鸣停驻之烟
91,35777377,130,官服,76,24,9,8,184,3,0,0,3,4.15,1244.15,9.570,6鸣x8 4鸣x1 2鸣x2 1鸣x3 0鸣x6,4鸣x1 1鸣x7,联觉等级:76 总黄数:24 五星角色数:9 五星武器数:8 2鸣维里奈，1鸣坎特蕾拉，1鸣卡卡罗，0鸣西格莉卡，0鸣千咲，0鸣尤诺，0鸣奥古斯塔，0鸣卡提希娅，0鸣安可 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣炽霞，6鸣白芷，6鸣秧秧，4鸣秋水，2鸣散华，1鸣灯灯 4鸣血誓盟约，1鸣永远的启明星，1鸣昙切，1鸣万物持存的注释，1鸣驭冕铸雷之权，1鸣海的呢喃，1鸣千古洑流 卖家说:0+1奥古斯塔0+1优诺0+1千咲1+1坎特蕾拉00卡提希娅，回归号，还有大量任务资源
92,28777538,130,官服,80,25,9,8,0,0,0,0,0,0.00,1240.00,9.538,3鸣x1 2鸣x1 1鸣x2 0鸣x5,1鸣x8,"80级/25黄/男主/9个五星角色/9个五星武器
未绑定,珂莱塔,洛可可,椿,守岸人,今汐,维里奈,鉴心,卡卡罗,凌阳,血誓盟约,悲喜剧,死与舞,裁春,时和岁稔,浩境粼光,千古洑流,停驻之烟,3命维里奈,2命守岸人,1命卡卡罗,1命凌阳,0命珂莱塔,0命洛可可,0命椿,0命今汐,0命鉴心,精1血誓盟约,精1悲喜剧,精1死与舞,精1裁春,精1时和岁稔,精1浩境粼光,精1千古洑流,精1停驻之烟"
93,35457782,150,官服,66,25,13,6,1,0,0,0,0,0.01,1430.01,9.533,6鸣x7 5鸣x2 4鸣x1 3鸣x1 1鸣x3 0鸣x10,1鸣x6,联觉等级:66 总黄数:25 五星角色数:13 五星武器数:6 3鸣安可，1鸣鉴心，1鸣卡卡罗，1鸣维里奈，0鸣千咲，0鸣嘉贝莉娜，0鸣弗洛洛，0鸣珂莱塔，0鸣椿，0鸣守岸人，0鸣相里要，0鸣长离，0鸣今汐 6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣秋水，6鸣炽霞，6鸣白芷，6鸣秧秧，5鸣丹瑾，5鸣散华，4鸣釉瑚，0鸣灯灯 1鸣裁春，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流，1鸣漪澜浮录
94,35327187,120,官服,62,16,10,5,349,1,0,6,7,9.18,1134.18,9.452,6鸣x1 4鸣x2 3鸣x2 2鸣x2 1鸣x2 0鸣x13,1鸣x5,联觉等级:62 总黄数:16 五星角色数:10 五星武器数:5 1鸣维里奈，0鸣绯雪，0鸣莫宁，0鸣弗洛洛，0鸣卡提希娅，0鸣相里要，0鸣长离，0鸣卡卡罗，0鸣安可，0鸣凌阳 6鸣莫特斐，4鸣炽霞，4鸣白芷，3鸣桃祈，3鸣秋水，2鸣散华，2鸣秧秧，1鸣渊武，0鸣卜灵，0鸣灯灯，0鸣釉瑚，0鸣丹瑾 1鸣灼霜，1鸣幽冥的忘忧章，1鸣血誓盟约，1鸣千古洑流，1鸣擎渊怒涛 卖家说:小毕业绯雪 0+1弗洛洛主线全做完  地图没肝 有大月卡
95,34989398,160,官服,63,26,13,7,76,0,0,0,0,0.47,1495.47,9.347,1鸣x4 0鸣x9,2鸣x1 1鸣x6,"男/女主: 女主 总黄数: 26 联觉等级: 63 星声数量: 76 拥有五星共鸣者: 鉴心,卡卡罗,安可,维里奈,凌阳,吟霖,今汐,长离,守岸人,椿,坎特蕾拉,夏空,卡提希娅 1鸣五星共鸣者: 1鸣卡卡罗,1鸣安可,1鸣维里奈,1鸣卡提希娅 0鸣五星共鸣者: 0鸣鉴心,0鸣凌阳,0鸣吟霖,0鸣今汐,0鸣长离,0鸣守岸人,0鸣椿,0鸣坎特蕾拉,0鸣夏空 拥有五星武器: 浩境粼光,千古洑流,漪澜浮录,裁春,血誓盟约,不屈命定之冠,灼霜 2鸣五星武器: 2鸣血誓盟约 1鸣五星武器: 1鸣浩境粼光,1鸣千古洑流,1鸣漪澜浮录,1鸣裁春,1鸣不屈命定之冠,1鸣灼霜 亮点: 【MC254】63级/26黄/女主/13个五星角色/8个五星武器/未绑定/卡提希娅/维里奈/安可/卡卡罗/今汐/守岸人/夏空/坎特蕾拉/长离/椿/吟霖/凌阳/鉴心/血誓盟约/不屈命定之冠/浩境粼光/漪澜浮录/裁春/千古洑流/灼霜/1鸣卡提希娅/1鸣维里奈/1鸣安可/1鸣卡卡罗/0鸣今汐/0鸣守岸人/0鸣夏空/0鸣坎特蕾拉/0鸣长离/0鸣椿/0鸣吟霖/0鸣凌阳/0鸣鉴心/2鸣血誓盟约/1鸣不屈命定之冠/1鸣浩境粼光/1鸣漪澜浮录/1鸣裁春/1鸣千古洑流/1鸣灼霜"
96,35867734,49,官服,41,6,4,2,74,0,0,0,0,0.46,450.46,9.193,3鸣x2 2鸣x1 1鸣x2 0鸣x8,1鸣x2,联觉等级:41 总黄数:6 五星角色数:4 五星武器数:2 0鸣长离，0鸣鉴心，0鸣卡卡罗，0鸣凌阳 3鸣散华，3鸣白芷，2鸣渊武，1鸣炽霞，1鸣秧秧，0鸣卜灵，0鸣灯灯，0鸣莫特斐，0鸣丹瑾 1鸣千古洑流
97,35196911,130,官服,60,23,10,6,98,0,0,0,0,0.61,1190.61,9.159,6鸣x6 5鸣x3 1鸣x7 0鸣x6,3鸣x1 1鸣x5,联觉等级:60 总黄数:23 五星角色数:10 五星武器数:6 1鸣卡提希娅，1鸣椿，1鸣吟霖，1鸣维里奈，1鸣凌阳，0鸣弗洛洛，0鸣洛可可，0鸣鉴心，0鸣卡卡罗，0鸣安可 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣秋水，6鸣秧秧，5鸣散华，5鸣炽霞，5鸣白芷，1鸣灯灯，1鸣莫特斐，0鸣卜灵 3鸣血誓盟约，1鸣不屈命定之冠，1鸣裁春，1鸣掣傀之手，1鸣千古洑流，1鸣漪澜浮录 卖家说:退游出号
98,8978449,130,官服,70,20,10,6,0,0,0,0,0,0.00,1190.00,9.154,6鸣x8 4鸣x1 3鸣x1 1鸣x2 0鸣x9,1鸣x6,联觉等级:70 总黄数:20 星声数量:110 五星角色数:10 1鸣珂莱塔，1鸣维里奈，0鸣卡提希娅，0鸣菲比，0鸣洛可可，0鸣守岸人，0鸣折枝，0鸣鉴心，0鸣卡卡罗，0鸣安可 6鸣灯灯，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，4鸣釉瑚，3鸣丹瑾，0鸣秋水 五星武器数:8 1鸣死与舞，1鸣星序协响，1鸣血誓盟约，1鸣千古洑流，1鸣停驻之烟，1鸣漪澜浮录 叱妖诰 卖家说:.
99,34743735,142,官服,0,21,12,5,0,0,0,0,0,0.00,1285.00,9.049,2鸣x1 1鸣x1 0鸣x10,1鸣x5,官服【21金】【等级66】【五星角色】赞妮 忌炎 卡提希娅 守岸人 菲比 维里奈二命 卡卡罗 吟霖 坎特蕾拉 凌阳 千咲 鉴心一命【五星武器】 焰光裁定 苍鳞千嶂 血誓盟约 千古洑流 星序协响 鸣潮账号
100,35930811,126,官服,62,18,11,4,2,0,0,0,0,0.01,1140.01,9.048,1鸣x3 0鸣x8,1鸣x4,"62级/18黄/男主/11个五星角色/4个五星武器
未绑定,卡提希娅,千咲,今汐,珂莱塔,长离,忌炎,维里奈,卡卡罗,鉴心,安可,凌阳,昙切,血誓盟约,时和岁稔,千古洑流,1命卡卡罗,1命鉴心,1命安可,0命卡提希娅,0命千咲,0命今汐,0命珂莱塔,0命长离,0命忌炎,0命维里奈,0命凌阳,精1昙切,精1血誓盟约,精1时和岁稔,精1千古洑流"
101,34763859,150,哔哩哔哩,64,32,11,7,154,3,5,4,12,12.96,1347.96,8.986,6鸣x3 5鸣x1 4鸣x1 3鸣x3 2鸣x3 0鸣x12,5鸣x1 2鸣x1 1鸣x5,联觉等级:64 总黄数:32 2鸣维里奈，0鸣千咲，0鸣仇远，0鸣弗洛洛，0鸣坎特蕾拉，0鸣菲比，0鸣今汐，0鸣鉴心，0鸣卡卡罗，0鸣安可，0鸣凌阳 6鸣桃祈，6鸣渊武，6鸣炽霞，5鸣釉瑚，4鸣白芷，3鸣丹瑾，3鸣散华，3鸣秧秧，2鸣灯灯，2鸣莫特斐，0鸣卜灵，0鸣秋水 5鸣血誓盟约，2鸣昙切，1鸣幽冥的忘忧章，1鸣和光回唱，1鸣浩境粼光，1鸣千古洑流，1鸣漪澜浮录
102,35745137,150,官服,77,30,11,7,107,0,0,2,2,2.67,1337.67,8.918,6鸣x9 5鸣x2 2鸣x1 1鸣x1 0鸣x10,5鸣x1 1鸣x6,联觉等级:77 总黄数:30 五星角色数:11 五星武器数:7 5鸣卡卡罗，2鸣凌阳，1鸣安可，0鸣莫宁，0鸣千咲，0鸣尤诺，0鸣弗洛洛，0鸣卡提希娅，0鸣菲比，0鸣鉴心，0鸣维里奈 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，5鸣秧秧，0鸣卜灵，0鸣灯灯 5鸣血誓盟约，1鸣宙算仪轨，1鸣昙切，1鸣万物持存的注释，1鸣不屈命定之冠，1鸣千古洑流，1鸣停驻之烟
103,34537260,135,官服,67,19,10,6,0,0,0,0,0,0.00,1190.00,8.815,1鸣x3 0鸣x7,1鸣x6,67级/19黄/男主/10个五星角色/6个五星武器/未绑定/维里奈/今汐/卡卡罗/椿/折枝/吟霖/忌炎/安可/相里要/珂莱塔/掣傀之手/裁春/时和岁稔/苍鳞千嶂/漪澜浮录/浩境粼光/1鸣维里奈/1鸣今汐/1鸣卡卡罗/0鸣椿/0鸣折枝/0鸣吟霖/0鸣忌炎/0鸣安可/0鸣相里要/0鸣珂莱塔/1鸣掣傀之手/1鸣裁春/1鸣时和岁稔/1鸣苍鳞千嶂/1鸣漪澜浮录/1鸣浩境粼光
104,32515163,80,官服,41,12,8,1,8,0,0,0,0,0.05,705.05,8.813,5鸣x2 4鸣x2 3鸣x4 2鸣x1 1鸣x3 0鸣x7,1鸣x1,联觉等级:41 总黄数:12 五星角色数:8 五星武器数:1 2鸣凌阳，1鸣安可，0鸣琳奈，0鸣相里要，0鸣今汐，0鸣忌炎，0鸣鉴心，0鸣卡卡罗 5鸣散华，5鸣炽霞，4鸣莫特斐，4鸣丹瑾，3鸣灯灯，3鸣渊武，3鸣秋水，3鸣白芷，1鸣桃祈，1鸣秧秧，0鸣釉瑚 1鸣血誓盟约 卖家说:鸣潮官服，个人闲置号，成品号
105,35914503,126,官服,61,18,9,6,44,0,0,0,0,0.28,1110.28,8.812,1鸣x3 0鸣x6,1鸣x6,"61级/18黄/男主/9个五星角色/6个五星武器
未绑定,卡提希娅,弗洛洛,琳奈,椿,守岸人,吟霖,卡卡罗,鉴心,安可,宙算仪轨,万物持存的注释,不屈命定之冠,血誓盟约,千古洑流,漪澜浮录,1命卡卡罗,1命鉴心,1命安可,0命卡提希娅,0命弗洛洛,0命琳奈,0命椿,0命守岸人,0命吟霖,精1宙算仪轨,精1万物持存的注释,精1不屈命定之冠,精1血誓盟约,精1千古洑流,精1漪澜浮录"
106,35272794,138,官服,61,22,10,6,799,0,7,11,18,22.99,1212.99,8.790,6鸣x2 4鸣x4 2鸣x3 1鸣x3 0鸣x10,5鸣x1 1鸣x5,联觉等级:61 总黄数:22 五星角色数:10 五星武器数:6 2鸣弗洛洛，0鸣琳奈，0鸣千咲，0鸣坎特蕾拉，0鸣菲比，0鸣守岸人，0鸣鉴心，0鸣安可，0鸣维里奈，0鸣凌阳 6鸣丹瑾，6鸣炽霞，4鸣渊武，4鸣莫特斐，4鸣白芷，4鸣秧秧，2鸣灯灯，2鸣秋水，1鸣卜灵，1鸣釉瑚，1鸣桃祈，0鸣散华 5鸣血誓盟约，1鸣昙切，1鸣幽冥的忘忧章，1鸣和光回唱，1鸣千古洑流，1鸣停驻之烟
